supplier,sku,group,prob,source
SE,300200838_,Розетки и выключатели,1.0,rules
SE,300200839_,Розетки и выключатели,1.0,rules
SE,300200840_,Розетки и выключатели,1.0,rules
SE,300200841_,Розетки и выключатели,1.0,rules
SE,300200842_,Розетки и выключатели,1.0,rules
SE,300200843_,Розетки и выключатели,1.0,rules
SE,300200844_,Розетки и выключатели,1.0,rules
SE,300200845_,Розетки и выключатели,1.0,rules
SE,300200846_,Розетки и выключатели,1.0,rules
SE,300200847_,Розетки и выключатели,1.0,rules
SE,300200848_,Розетки и выключатели,1.0,rules
SE,300200849_,Розетки и выключатели,1.0,rules
SE,300200850_,Розетки и выключатели,1.0,rules
SE,300200851_,Розетки и выключатели,1.0,rules
SE,300200852_,Розетки и выключатели,1.0,rules
SE,300200853_,"Кабель, провод, СКС",1.0,rules
SE,300200854_,Розетки и выключатели,1.0,rules
SE,300200855_,Розетки и выключатели,1.0,rules
SE,300200856_,Розетки и выключатели,1.0,rules
SE,300200857_,Розетки и выключатели,1.0,rules
SE,300200858_,Розетки и выключатели,1.0,rules
SE,300200859_,Розетки и выключатели,1.0,rules
SE,300200860_,Розетки и выключатели,1.0,rules
SE,300200861_,Розетки и выключатели,1.0,rules
SE,300200862_,Розетки и выключатели,1.0,rules
SE,300200863_,Розетки и выключатели,1.0,rules
SE,300200864_,Розетки и выключатели,1.0,rules
SE,300200865_,Розетки и выключатели,1.0,rules
SE,300200866_,Розетки и выключатели,1.0,rules
SE,300200867_,Розетки и выключатели,1.0,rules
SE,300200868_,Розетки и выключатели,1.0,rules
SE,300200869_,Розетки и выключатели,1.0,rules
SE,300200870_,Розетки и выключатели,1.0,rules
SE,300200871_,Розетки и выключатели,1.0,rules
SE,300200872_,Розетки и выключатели,1.0,rules
SE,300200873_,Розетки и выключатели,1.0,rules
SE,300200874_,"Трубы, кабель-каналы, лотки",1.0,rules
SE,300200875_,Розетки и выключатели,1.0,rules
SE,300200876_,Розетки и выключатели,1.0,rules
SE,300200877_,Розетки и выключатели,1.0,rules
SE,300200878_,Розетки и выключатели,1.0,rules
SE,300200879_,"Кабель, провод, СКС",1.0,rules
SE,300200880_,Розетки и выключатели,1.0,rules
SE,300200881_,Розетки и выключатели,1.0,rules
SE,300200882_,Розетки и выключатели,1.0,rules
SE,300200883_,Розетки и выключатели,1.0,rules
SE,300200884_,Розетки и выключатели,1.0,rules
SE,300200885_,Розетки и выключатели,1.0,rules
SE,300200886_,Розетки и выключатели,1.0,rules
SE,300200887_,Розетки и выключатели,1.0,rules
SE,300200888_,Розетки и выключатели,1.0,rules
SE,300200889_,Розетки и выключатели,1.0,rules
SE,300200890_,Розетки и выключатели,1.0,rules
SE,300200891_,Розетки и выключатели,1.0,rules
SE,300200892_,Розетки и выключатели,1.0,rules
SE,300200893_,Розетки и выключатели,1.0,rules
SE,300200894_,Розетки и выключатели,1.0,rules
SE,300200895_,Розетки и выключатели,1.0,rules
SE,300200896_,Розетки и выключатели,1.0,rules
SE,300200897_,Розетки и выключатели,1.0,rules
SE,300200898_,Розетки и выключатели,1.0,rules
SE,300200899_,Розетки и выключатели,1.0,rules
SE,300200900_,Розетки и выключатели,1.0,rules
SE,300200901_,Розетки и выключатели,1.0,rules
SE,300200902_,Розетки и выключатели,1.0,rules
SE,300200903_,Розетки и выключатели,1.0,rules
SE,300200904_,Розетки и выключатели,1.0,rules
SE,300200905_,"Кабель, провод, СКС",1.0,rules
SE,300200906_,Розетки и выключатели,1.0,rules
SE,300200907_,Розетки и выключатели,1.0,rules
SE,300200908_,"Трубы, кабель-каналы, лотки",1.0,rules
SE,300200909_,Розетки и выключатели,1.0,rules
SE,300200910_,Розетки и выключатели,1.0,rules
SE,300200911_,Розетки и выключатели,1.0,rules
SE,300200912_,Розетки и выключатели,1.0,rules
SE,300200913_,Розетки и выключатели,1.0,rules
SE,300200914_,Розетки и выключатели,1.0,rules
SE,300200915_,Розетки и выключатели,1.0,rules
SE,300200916_,Розетки и выключатели,1.0,rules
