supplier,sku,group,prob,source
SE,300200363_,Розетки и выключатели,1.0,rules
SE,300200364_,Розетки и выключатели,1.0,rules
SE,300200365_,Розетки и выключатели,1.0,rules
SE,300200366_,Розетки и выключатели,1.0,rules
SE,300200367_,Розетки и выключатели,1.0,rules
SE,300200368_,Розетки и выключатели,1.0,rules
SE,300200369_,Розетки и выключатели,1.0,rules
SE,300200370_,Розетки и выключатели,1.0,rules
SE,300200371_,Розетки и выключатели,1.0,rules
SE,300200372_,Розетки и выключатели,1.0,rules
SE,300200373_,Розетки и выключатели,1.0,rules
SE,300200374_,Розетки и выключатели,1.0,rules
